,time,open,high,low,close,volume,market_cap
0,2019-04-04,4932.59,5039.08,4777.0,4898.66,61054.254,61054.25416800
1,2019-04-05,4898.64,5028.22,4880.62,5004.95,39768.555,39768.55280600
2,2019-04-06,5004.96,5205.0,4928.59,5043.89,41770.844,41770.84231300
3,2019-04-07,5042.07,5234.0,5026.0,5170.27,37615.49,37615.48680400
4,2019-04-08,5170.27,5305.0,5039.0,5236.9,50178.43,50178.43078200
5,2019-04-09,5238.38,5238.4,5076.68,5150.0,34067.01,34067.01231100
6,2019-04-10,5150.0,5422.0,5135.0,5308.25,40073.62,40073.62047100
7,2019-04-11,5307.86,5332.67,4927.0,5017.37,54696.6,54696.60068600
8,2019-04-12,5017.37,5080.58,4861.22,5048.01,33276.68,33276.67861400
9,2019-04-13,5047.0,5099.0,5004.0,5045.22,17292.457,17292.45680200
10,2019-04-14,5047.45,5152.99,5000.0,5131.3,18281.607,18281.60773900
11,2019-04-15,5131.28,5167.38,4950.0,5024.95,29057.191,29057.19158100
12,2019-04-16,5024.95,5197.72,5003.94,5173.72,24242.23,24242.22949300
13,2019-04-17,5173.72,5230.4,5146.8,5202.82,23307.537,23307.53613400
14,2019-04-18,5202.41,5287.0,5198.8,5258.44,22619.238,22619.23900100
15,2019-04-19,5258.44,5320.0,5175.0,5258.68,24611.236,24611.23632300
16,2019-04-20,5258.68,5333.42,5230.1,5291.73,19168.908,19168.90827400
17,2019-04-21,5292.91,5314.35,5165.0,5256.14,25549.57,25549.57093900
18,2019-04-22,5257.41,5400.0,5208.35,5357.14,29563.852,29563.85230900
19,2019-04-23,5357.14,5600.0,5332.41,5493.31,41262.105,41262.10391700
20,2019-04-24,5490.91,5582.2,5333.35,5415.0,48224.152,48224.15241300
21,2019-04-25,5415.0,5491.84,5102.0,5219.9,49636.09,49636.08994800
22,2019-04-26,5220.47,5510.0,5161.62,5314.1,48912.293,48912.29451300
23,2019-04-27,5315.0,5342.5,5257.67,5295.69,15422.896,15422.89693500
24,2019-04-28,5295.69,5340.0,5259.48,5307.52,14371.434,14371.43386900
25,2019-04-29,5309.81,5332.0,5178.8,5238.14,19918.135,19918.13507900
26,2019-04-30,5238.14,5339.98,5192.15,5320.81,22238.068,22238.06823000
27,2019-05-01,5321.94,5402.0,5316.2,5383.2,17217.473,17217.47321600
28,2019-05-02,5383.2,5538.0,5370.0,5492.87,22795.787,22795.78783500
29,2019-05-03,5494.81,5844.0,5477.57,5772.69,46297.17,46297.17284900
30,2019-05-04,5770.62,5900.0,5587.45,5829.45,39682.41,39682.40899100
31,2019-05-05,5829.83,5839.9,5696.0,5775.62,23822.543,23822.54377500
32,2019-05-06,5773.18,5805.0,5619.14,5747.79,25256.596,25256.59632500
33,2019-05-07,5749.92,6028.41,5747.74,5846.34,39905.062,39905.06442200
34,2019-05-08,5846.34,6014.72,5772.2,5987.29,23074.05,23074.05152000
35,2019-05-09,5986.66,6224.55,5983.71,6209.18,27453.012,27453.01143600
36,2019-05-10,6209.95,6468.92,6172.0,6373.33,36623.61,36623.61079000
37,2019-05-11,6375.16,7343.99,6372.85,7076.22,74022.42,74022.42439300
38,2019-05-12,7076.24,7521.78,6750.0,6967.31,86948.98,86948.97533900
39,2019-05-13,6968.24,8100.0,6870.0,7790.71,85804.734,85804.73533300
40,2019-05-14,7795.62,8366.0,7599.56,7947.56,76583.72,76583.72260300
41,2019-05-15,7945.26,8249.0,7850.0,8169.87,37884.33,37884.32721100
42,2019-05-16,8169.08,8320.0,7705.0,7866.59,69630.516,69630.51399600
43,2019-05-17,7868.67,7925.0,6913.0,7355.26,88752.01,88752.00815900
44,2019-05-18,7355.28,7458.0,7156.61,7257.45,37054.945,37054.94477900
45,2019-05-19,7257.32,8275.09,7243.08,8148.48,65577.445,65577.44205800
