,0,1,2,3,4,5
1328,2020-03-03 07:45:00,160.0,164.038,159.6,159.6,1246590
1327,2020-03-03 08:00:00,159.406,159.63,156.986,157.4,787250
1326,2020-03-03 08:15:00,157.2,163.99,154.4,156.796,1162025
1325,2020-03-03 08:30:00,156.632,159.22,156.0,158.3,705375
1324,2020-03-03 08:45:00,158.044,158.688,157.224,158.07,517145
1323,2020-03-03 09:00:00,158.172,160.518,157.6,160.116,742515
1322,2020-03-03 09:15:00,160.0,161.2,159.802,160.2,704240
1321,2020-03-03 09:30:00,160.2,161.2,159.798,161.022,716280
1320,2020-03-03 09:45:00,161.0,161.396,155.0,158.002,15609325
1319,2020-03-03 10:00:00,158.19232,158.69388,153.262,154.404,8047425
1318,2020-03-03 10:15:00,154.574,160.0,154.4738,154.66326,10369420
1317,2020-03-03 10:30:00,154.54,157.1436,152.672,155.494,6425810
1316,2020-03-03 10:45:00,155.34924,157.176,154.6,156.84984,3418625
1315,2020-03-03 11:00:00,156.841,157.466,155.601,156.744,2739645
1314,2020-03-03 11:15:00,156.58254,157.284,153.614,153.705,3709965
1313,2020-03-03 11:30:00,153.782,155.136,150.28,151.6,5602420
1312,2020-03-03 11:45:00,151.59,153.76,150.802,152.68,3368310
1311,2020-03-03 12:00:00,152.68,154.4976,151.66382,153.43666,2844410
1310,2020-03-03 12:15:00,153.47,155.6,153.2,153.536,3023510
1309,2020-03-03 12:30:00,153.512,154.804,153.018,153.438,2032995
1308,2020-03-03 12:45:00,153.616,153.962,152.528,153.283,1557590
1307,2020-03-03 13:00:00,153.36,154.59408,152.494,153.07644,1676945
1306,2020-03-03 13:15:00,153.0,153.0,150.40012,150.5075,2582660
1305,2020-03-03 13:30:00,150.69598,151.668,148.022,149.37446,4446365
1304,2020-03-03 13:45:00,149.443,150.694,146.2804,146.324,4024030
1303,2020-03-03 14:00:00,146.33822,147.154,145.0,146.17088,4859310
1302,2020-03-03 14:15:00,146.084,146.856,143.602,145.47,4495950
1301,2020-03-03 14:30:00,145.5,146.598,143.22212,146.11802,3617515
1300,2020-03-03 14:45:00,146.247,146.982,145.036,146.0,3073120
1299,2020-03-03 15:00:00,145.958,149.149,145.8084,149.06226,3962150
1298,2020-03-03 15:15:00,149.00998,152.692,148.524,151.30084,5248010
1297,2020-03-03 15:30:00,151.297,151.7864,148.97728,151.13388,3720280
1296,2020-03-03 15:45:00,151.0543,151.0543,147.55,149.746,3192690
1295,2020-03-03 16:00:00,149.838,150.4,148.0,149.102,4005930
1294,2020-03-03 16:15:00,149.102,149.494,148.79996,148.996,234305
1293,2020-03-03 16:30:00,148.8,149.102,147.8,148.00002,131180
1292,2020-03-03 16:45:00,148.19,149.102,148.02,148.02,40395
1291,2020-03-03 17:00:00,148.04,149.102,146.2,146.65,106510
1290,2020-03-03 17:15:00,146.662,146.702,145.4,145.4,90290
1289,2020-03-03 17:30:00,145.262,145.8,144.3,145.11,182200
1288,2020-03-03 17:45:00,145.204,149.102,144.2,145.4,200760
1287,2020-03-03 18:00:00,145.212,145.57,145.0,145.0,33805
1286,2020-03-03 18:15:00,145.2,145.6,143.87,144.2,108190
1285,2020-03-03 18:30:00,144.226,145.0,144.2,144.972,38865
1284,2020-03-03 18:45:00,144.85,144.85,144.4,144.4,19735
1283,2020-03-03 19:00:00,144.498,144.9,144.3,144.802,34195
1282,2020-03-03 19:15:00,145.05,146.768,145.0,145.8,77670
1281,2020-03-03 19:30:00,145.984,147.0,145.85,145.85,67430
1280,2020-03-03 19:45:00,145.9,147.014,145.9,146.9,97010
1279,2020-03-03 20:00:00,146.8,146.8,146.2,146.2,62045
1278,2020-03-04 04:15:00,151.0,154.2,151.0,152.5,71760
1277,2020-03-04 04:30:00,152.6,153.072,152.31,152.6,17715
1276,2020-03-04 04:45:00,152.2,152.8,152.006,152.6,17440
1275,2020-03-04 05:00:00,152.702,153.22,152.538,152.8,10305
1274,2020-03-04 05:15:00,152.8,153.6,152.8,153.6,9445
1273,2020-03-04 05:30:00,153.748,154.0,153.624,154.0,14625
1272,2020-03-04 05:45:00,153.812,154.014,153.714,154.014,5680
1271,2020-03-04 06:00:00,154.24,154.24,153.8,153.8,14650
1270,2020-03-04 06:15:00,153.632,153.632,153.632,153.632,1545
1269,2020-03-04 06:30:00,153.322,153.4,152.742,153.0,36400
1268,2020-03-04 06:45:00,153.302,153.302,153.302,153.302,910
1267,2020-03-04 07:00:00,153.8,153.8,153.8,153.8,3955
1266,2020-03-04 07:15:00,154.0,157.0,153.666,156.798,616850
1265,2020-03-04 07:30:00,156.776,158.202,156.492,156.8,538395
1264,2020-03-04 07:45:00,156.752,157.2,156.214,156.59,205110
1263,2020-03-04 08:00:00,156.738,157.098,155.442,155.442,221115
1262,2020-03-04 08:15:00,155.404,157.784,153.06,154.34,773815
1261,2020-03-04 08:30:00,154.344,154.98,154.242,154.4,297440
1260,2020-03-04 08:45:00,154.26,154.774,154.052,154.658,162340
1259,2020-03-04 09:00:00,154.622,154.956,153.622,154.318,277185
1258,2020-03-04 09:15:00,154.162,154.5,153.434,154.4,271025
1257,2020-03-04 09:30:00,154.298,154.4,152.426,152.692,221335
1256,2020-03-04 09:45:00,152.79206,153.304,148.214,150.514,7771050
1255,2020-03-04 10:00:00,150.47622,150.862,147.22,148.3408,4977950
1254,2020-03-04 10:15:00,148.29076,149.988,147.576,149.957,3805255
1253,2020-03-04 10:30:00,149.94338,152.1245,149.126,150.80554,4919015
1252,2020-03-04 10:45:00,150.92084,150.98998,149.256,150.512,2432685
1251,2020-03-04 11:00:00,150.48514,150.634,148.246,148.8806,2001395
